standalone_expansions,player_perspectives,category,cover,url,aggregated_rating,total_rating_count,alternative_names,genres,remasters,bundles,keywords,tags,expansions,age_ratings,storyline,involved_companies,name,slug,checksum,rating_count,videos,version_title,screenshots,game_modes,themes,artworks,external_games,language_supports,websites,rating,ports,franchises,game_engines,platforms,created_at,updated_at,parent_game,aggregated_rating_count,version_parent,expanded_games,game_localizations,collection,multiplayer_modes,first_release_date,remakes,similar_games,dlcs,status,total_rating,follows,hypes,release_dates,id,franchise,summary
,"[4, 5]",0,114399.0,https://www.igdb.com/games/murder-detective-jack-the-ripper,,,"[49037, 108479, 108620]","[31, 34]",,,[215],"[43, 268435487, 268435490, 536871127]",,[96041],,[74085],Murder Detective: Jack the Ripper,murder-detective-jack-the-ripper,ef975652-4531-0c21-b5c5-52e0e9409f0a,,"[24586, 25479, 25868, 25898]",,"[283325, 283326, 283327, 283328, 283329, 283330]",[1],[43],"[6477, 6478, 6479, 6480, 6481, 6482, 6483, 6484, 6485, 6486]","[1746766, 1912882, 1931292, 1934368, 2086701, 2582173, 2597309]",,"[99541, 99542, 387411]",,,,,"[48, 130]",1548665796,1688760986,,,,,[11589],,,1556150400.0,,"[12579, 18011, 26223, 27092, 27725, 34218, 79994, 80916, 81275, 122515]",,,,,,"[164479, 164480]",114535,,"Murder Detective Jack the Ripper takes you on the role of a private detective based in London and the game’s route depends on the choices you make in-game and in turn, could see you take on a murder route."
[250201],,9,102369.0,https://www.igdb.com/games/the-wonderful-101-remastered,74.2,6.0,[106942],"[15, 25, 31]",,,"[2425, 17940]","[1, 268435471, 268435481, 268435487, 536873337, 536888852]",,"[40613, 51147, 95075, 144029]","The game takes place during a third war between Earth and an alien terrorist organization called the Geathjerk Federation that has invaded the planet. The only hope for humanity is the Wonderful Ones, a group of superheroes working for the CENTINELS Planetary Secret Service, an organization created by the United Nations.","[92039, 129153]",The Wonderful 101: Remastered,the-wonderful-101-remastered,6bf4f483-0199-bd1f-dd54-87166e81d35d,,[34202],,"[374334, 374335, 374336, 374337]",,[1],[15418],"[1863702, 1928453, 1929292, 1930831, 1930931, 1932467, 1933095, 1935435, 1935533, 1936181, 1941511, 1999070, 2075897, 2085372, 2086687, 2087769, 2174264, 2586146, 2592924, 2598120, 2716825]","[26511, 26512, 26513, 26514, 26515, 26516, 26517, 26518, 26519, 26520, 26521, 26522, 26523, 26524]","[140865, 140866, 307425, 452939]",,,,,"[6, 48, 130]",1580793656,1688760975,2639.0,6.0,,,,,,1589846400.0,,"[25311, 26574, 27092, 28182, 35994, 76253, 96217, 103168, 111130, 115283]","[196065, 250349, 251116]",,74.2,1.0,,"[189666, 189668, 189670, 341442, 403967]",129240,,"A team of heroes from around the world must unite to protect the earth from vicious alien invaders!
This band of 100 Wonderful Ones works together using their fantastic abilities to create a variety of forms. Whether it be a giant fist or a sharp blade, they'll use their wits and power to overcome the enemy’s pitfalls and perils!
And the final member of this team of courageous heroes - is you."
,[5],0,242173.0,https://www.igdb.com/games/shitsuji-ga-aruji-wo-erabu-toki,,,"[99844, 119074, 119075]",[34],,,[27094],"[44, 268435490, 536898006]",,[90750],"The private Katsuranomiya Academy is a school full of girls from noble families. Naoya enrolled in the school as a butler on a scholarship and met five rich ladies known as the ‘cinq roses’. They came from different backgrounds, from being a princess to being the daughter of a famous acting family, but they all had something in common. They all are either S or M! Which of them will he choose to serve?","[197314, 197315, 197316, 197317]",Shitsuji ga Aruji wo Erabu Toki,shitsuji-ga-aruji-wo-erabu-toki,97adcd8f-4040-d3b9-cff9-edb7954f62fb,,,,"[949946, 949947, 949948, 949949]",[1],[44],,"[2565190, 2581974]",,"[502524, 513563, 513564]",,,,,"[46, 48]",1662710554,1688760961,,,,,[1232],,,1456358400.0,,"[17906, 19075, 136754, 136757, 140114, 142444, 154711, 186229, 191957, 216285]",,,,,,"[387479, 387480]",216245,,"All the visual novel elements are there featuring full voice-acting. On-screen text can be toggled off with ability to use analogue sticks to zoom and scroll the clear background image with characters. While this game is a port of an adult visual novel for Windows with the same title released a couple of years earlier, this version has all the adult content removed and main scenario adjusted to work accordingly."
,[4],0,114981.0,https://www.igdb.com/games/sheepo,80.0,2.0,[99751],"[8, 12, 31, 32, 33]",,,"[477, 968, 5673]","[1, 268435464, 268435468, 268435487, 268435488, 268435489, 536871389, 536871880, 536876585]",,"[53412, 90694, 109616, 118139]","It’s Sheepo’s first day on the job at an intergalactic species database. His first task? To visit an uncharted planet and save all its living creatures from extinction! It might seem like a lot of work for a single day, but thankfully a day on Planet Cebron lasts 8000 earth days.

Specifically, Sheepo is tasked to collect one unhatched egg from every creature on the planet. With each egg Sheepo collects, you gain the ability to shape-shift into that creature on contact and explore the deeper reaches of the planets sprawling environment.","[116609, 156368]",Sheepo,sheepo,ff0601cb-292e-a3a5-f4ad-05332f21b1d2,,"[39450, 39451]",,"[395858, 395859, 395860, 395861, 395862, 395863, 395864, 395865, 395866]",[1],[1],[35483],"[1860261, 1938742, 1939540, 2175025, 2178992, 2181566, 2562201, 2581932, 2583348, 2616475, 2625591, 2657680, 2716732]","[138910, 138911, 138912, 138913, 138915, 326697, 504609]","[149454, 149455, 149456, 149457, 239151, 325973, 325974, 325975, 402687]",,,,[532],"[6, 48, 49, 130, 167, 169]",1587474924,1688760954,,2.0,,,[12881],,,1598400000.0,,"[24426, 28309, 55190, 56033, 89597, 96217, 105269, 106987, 110121, 113360]",,,80.0,4.0,,"[206638, 314894, 315374, 315375, 337581, 340391, 340392]",132631,,"Sheepo is a quirky metroidvania platformer featuring a shape-shifting sheep-thing, who must traverse an uncharted planet in order to collect samples of each living species for an intergalactic species database.

To capture a creature, Sheepo must find their unhatched egg, which happen to be highly guarded by that species ""queen"" (aka, a boss.) With each egg Sheepo collects, you then gain the ability to transform into that creature on contact, and explore the deeper reaches of the planets sprawling environment

Sheepo is a metroidvania, but contains no standard combat. Instead, gameplay is based on platforming and exploration. With the collection of each creature, Sheepo is able to dig, fly, and teleport across an interconnected series of landscapes, uncovering hidden shrines, old ruins, and strange characters."
,[2],0,86077.0,https://www.igdb.com/games/star-ocean-integrity-and-faithlessness,59.8421052631579,29.0,"[6386, 6387, 11564, 103505]","[12, 31]",,,"[3, 510, 521, 575, 1033, 2365, 4353, 4359, 4871, 4883, 4918, 6230]","[1, 17, 18, 268435468, 268435487, 536870915, 536871422, 536871433, 536871487, 536871945, 536873277, 536875265, 536875271, 536875783, 536875795, 536875830, 536877142]",,"[9024, 106137, 106138, 106139, 106140, 106141, 106142]",,"[37287, 37288]",Star Ocean: Integrity and Faithlessness,star-ocean-integrity-and-faithlessness,3d47c814-2047-1c47-cc8c-e86e39ccb175,9.0,"[4474, 7781]",,"[10498, 10499, 10500, 10501, 10502]",[1],"[1, 17, 18]","[1134, 1135, 1136, 1137]","[55297, 83057, 83059, 111723, 189345, 245347, 400193, 1929977, 1935445, 2084930, 2085463, 2085830, 2117210, 2172101, 2581994, 2585704]",,"[5072, 6872, 6873, 332614]",54.41712757800016,,[721],[215],"[9, 48]",1434493702,1688760950,,20.0,,,"[19589, 24018]",973.0,,1459382400.0,,"[17379, 22387, 28168, 28309, 36198, 47823, 55038, 55199, 96217, 106987]",,,57.12961642057903,10.0,2.0,"[49674, 49675, 49676, 105794, 120754]",11213,,"STAR OCEAN, the epic, sci-fi RPG saga that takes players to the stars and beyond, makes its triumphant return with its forthcoming fifth installment in the series. The title is developed by tri-Ace, the celebrated studio behind each of the previous iterations, with character designs by akiman (Akira Yasuda)."
,[4],0,119215.0,https://www.igdb.com/games/taxi-chaos,43.66666666666666,4.0,"[51862, 103544, 103576, 104085, 104166]","[8, 10, 33]",,,,"[1, 27, 268435464, 268435466, 268435489]",,"[40402, 56300, 68791, 94085, 119431]",,"[115039, 115040, 115041]",Taxi Chaos,taxi-chaos,2655005a-55d2-5989-7c06-fa8c6a69032c,,[43794],,"[407060, 407061, 407062, 407063, 407064]",[1],"[1, 27]",[9647],"[2001335, 2001498, 2081974, 2086419, 2088797, 2173941, 2232807, 2515164, 2581708, 2583062, 2599789, 2602074, 2603709, 2603873, 2612801, 2657193, 2703700]","[16359, 16360, 16361, 16362, 16363, 16365, 16367, 16369, 16371, 16373, 16375, 16377, 16379, 16380, 16381, 16382, 16383, 138007, 501788, 501789, 501790]","[164011, 164012, 164013, 267395, 504631]",,,,,"[6, 48, 49, 130, 169]",1604511524,1688760897,,4.0,,,"[13793, 21270]",,,1614038400.0,,"[19164, 27378, 43367, 56033, 81183, 82090, 105011, 110503, 114475, 117311]",,,43.66666666666666,,,"[222309, 222310, 222311, 227222, 402880]",140701,,"Taxi Chaos is a casual arcade racing game where you select one of a wide range of unlockable cabs, each of whom has different attributes: the strong muscle car, the superfast exotic supercar, the corner-drifting Japanese tuner, an American classic from the '60s and more: Taxi Mayhem has them all.
Your goal is to try and earn big cab fares, by picking up any customers and dropping them off at their destination spots as fast as possible before you run out of time! However, beware: most customers are a little crazy."
,[4],0,62755.0,https://www.igdb.com/games/typoman,69.28571428571429,17.0,"[11481, 108061]","[8, 9, 15, 31, 32]",,,"[1158, 1293, 1494, 4004, 4134, 4150, 4510, 4882, 5343, 5379, 6200]","[268435464, 268435465, 268435471, 268435487, 268435488, 536872070, 536872205, 536872406, 536874916, 536875046, 536875062, 536875422, 536875794, 536876255, 536876291, 536877112]",,"[13089, 41170, 95830, 143624, 143625, 143626, 143627]",,"[29752, 61396, 61397, 129919]",Typoman,typoman,a2476dd2-013a-ff7a-f2bc-5f37905ff21f,10.0,"[6606, 6607]",,"[90580, 90581, 90582, 90583, 90584, 182707, 182708, 182709, 182710, 182711, 182712]",[1],,[16635],"[9891, 99797, 111230, 211074, 221284, 222067, 248315, 289164, 399535, 1238332, 2174321, 2582679, 2583444, 2597462]","[176032, 176033, 176034, 176035, 176036, 176037, 176038, 176039, 494988]","[46612, 46613, 256136, 335482]",73.51057791794534,,,,"[3, 6, 14, 41, 48, 49, 130]",1434667870,1688760896,,7.0,,[52993],[4889],,,1447891200.0,,"[9278, 16992, 19082, 20342, 24426, 33153, 36198, 55173, 55190, 56033]",,,71.39814610182981,11.0,3.0,"[43353, 93258, 120597, 136420, 142390, 146595, 418435, 418436, 418437]",11225,,"Typoman is a two dimensional puzzle platformer distinguished by a unique game world. You slip into the role of the HERO struggling to make your way through a dark, surreal world. Despite your small stature you have a powerful gift: You can use letters to alter your environment!

Be the HERO and set out on the journey to become whole and gain the powers you need to defeat the giant, evil demon that rules the world you are trapped in."
,"[4, 5]",0,131112.0,https://www.igdb.com/games/date-a-live-ren-dystopia,,,[55210],"[13, 31, 34]",,,[1313],"[1, 17, 31, 268435469, 268435487, 268435490, 536872225, 536894387]",,[105173],"A night spent with everyone, uneventful and as always.
Shido has a strange dream. In the darkness, he hears someone’s voice.

When he wakes up in the morning, he sees a strange box engraved with a design of a snake placed at his bedside.

Wondering if whether this is somebody’s mischief, Shido checks with everyone.
Then when he opens the box—.","[73403, 73404]",Date A Live: Ren Dystopia,date-a-live-ren-dystopia,fe123144-9cbd-6f3a-3282-f7f7f5073ce8,,[25343],,"[291331, 291332, 291333, 291334, 291335]",[1],"[1, 17, 31]",,"[1883784, 2084992, 2581584]",,"[98657, 98658, 369565]",,,[593],,[48],1548067827,1688760885,,,,,[11567],3894.0,,1600905600.0,,"[25311, 27092, 55199, 55984, 62151, 81249, 96217, 103303, 106987, 113360]",,,,,2.0,[219377],114150,,"This game features a new original story, together with a new original game character named Ren (蓮). The seventh Spirit, Natsumi, is also confirmed to appear in the game."
,[4],0,94337.0,https://www.igdb.com/games/deep-sky-derelicts-definitive-edition,,,[30998],"[12, 15, 32, 35]",,,"[1541, 1925]","[1, 18, 268435468, 268435471, 268435488, 268435491, 536872453, 536872837]",,"[37972, 92145, 113248, 113249]",,"[94173, 130593]",Deep Sky Derelicts: Definitive Edition,deep-sky-derelicts-definitive-edition,c2919aac-31dc-a092-8796-79f286e05f06,,[34434],Deep Sky Derelicts: Definitive Edition,"[375729, 375730, 375731, 375732, 375733, 375734, 375735, 375736, 375737, 375738]",[1],"[1, 18]",[12834],"[2069689, 2089360, 2118287, 2174773, 2584180, 2589033, 2625960, 2660252]","[154954, 154955, 154956, 154957, 154958, 154959, 154960]","[194580, 202801, 202802, 222939, 222940, 222941, 222942, 222943, 282799]",,,,,"[6, 48, 49, 130]",1584147657,1688760881,,,54793.0,,,,,1585008000.0,,"[17686, 19404, 25311, 26574, 28182, 35994, 96217, 105269, 106987, 107318]",,,,,,"[191083, 191084, 191085, 191086]",131855,,"In a grim dystopian future, where mankind has scattered across the galaxy and the human society has split into two distinct classes, you are a poor stateless outcast forced to live off scraps from derelict alien stations and ships in the outer space. A fabled alien derelict ship somewhere within the Deep Sky sector of space is your voucher for a citizenship and a promise of cozy life on a hospitable planet.

Experience Deep Sky Derelicts in its definitive edition, which brings together the base game and its two DLC, New Prospects and Station Life. Both adding new features, content, areas, gameplay mechanics and much more!"
,[2],0,129251.0,https://www.igdb.com/games/toy-story-3-the-video-game,72.5,43.0,[92727],"[8, 31]",,,"[3, 671, 770, 947, 1293, 1333, 1459, 4134, 4142, 4245, 4341, 4345, 4353, 4359, 4382, 4437, 4438, 4484, 4678, 4801, 4869, 5633, 5783, 7384, 7600, 12462, 17215]","[1, 35, 268435464, 268435487, 536870915, 536871583, 536871682, 536871859, 536872205, 536872245, 536872371, 536875046, 536875054, 536875157, 536875253, 536875257, 536875265, 536875271, 536875294, 536875349, 536875350, 536875396, 536875590, 536875713, 536875781, 536876545, 536876695, 536878296, 536878512, 536883374, 536888127]",,"[13229, 87119, 87120, 87121, 87122, 109740]",,"[12666, 171723, 187919]",Toy Story 3: The Video Game,toy-story-3-the-video-game,bb79ca72-84a2-2a16-3313-934ae30f2445,36.0,,,"[140776, 140777, 140778, 140779]","[1, 2, 4]","[1, 35]",[9767],"[11029, 73252, 84142, 91770, 96033, 129755, 189958, 214296, 248503, 402810, 1302656, 1748465, 1929405, 1931910, 1931996, 1932021, 2081961, 2162097, 2592901, 2592912]","[93170, 93171, 93172, 93173, 93174, 93175, 93176, 93177, 93178, 93179, 93180, 93181, 93182, 93183, 93185, 93186, 93187, 93188, 93189, 93190, 93191, 93192, 93193, 93194, 93195, 93196, 93198, 93200]","[25061, 52393, 104754, 302504, 346140]",73.11385777788362,,"[26, 157, 1434]",,"[5, 6, 8, 9, 12, 14, 38]",1392000563,1688760879,,7.0,,,,3852.0,,1276560000.0,,"[1877, 2807, 4755, 5181, 8361, 11423, 19150, 55173, 55190, 56033]",,,72.80692888894181,12.0,,"[12327, 12328, 12331, 12332, 12333, 134296, 134297, 390916, 390917]",5240,157.0,"In Toy Story 3: The Video Game help Buzz, Woody and the rest of the Toys ensure no toy gets left behind. Dive into all new heroic adventures in Story Mode or let your imagination run wild in the exiting new open world of Toy Box Mode! Come and play to infinity... and beyond!"
