language,created_at,updated_at,checksum,language_support_type,game,id
7,1688675520,1688676906,a17ab06c-a53e-fe6b-2fe4-824ff1418689,3,255750,722061
3,1688675441,1688676874,770e8920-507f-c48c-21a0-03132655eba4,3,255749,722060
2,1688675441,1688676874,2e8e4ded-471a-d7cf-c3a2-ce1d37858ec0,3,255749,722059
16,1688675441,1688676874,3f09f7b6-4419-dfe2-8580-9c973f67e4ef,3,255749,722058
7,1688675441,1688676873,7bc78d74-41b0-66a5-465d-04080fb94e88,3,255749,722057
17,1688675441,1688676873,751ac9ec-7f64-c572-1cd2-1e656f0f9831,3,255749,722056
16,1688675369,1688676801,4381d505-4d4c-c47c-4615-5d84d40f96e3,3,255507,722055
16,1688675153,1688675395,22b79068-bdf5-f567-2334-0c3bc18039fb,3,195631,722054
7,1688586152,1688674439,cbc4e6d1-9ac0-97cd-9d36-79d7c8420e3d,1,239381,721678
9,1688586152,1688674439,0e6357bd-23f6-e37f-13b4-1b4edeb55033,3,239381,721677
21,1688586152,1688674439,9f898d2e-3314-2523-b470-e53c75b906ea,3,239381,721676
17,1688586152,1688674439,4ba57244-b271-7399-c4cd-7e3c76e37c80,3,239381,721675
16,1688586152,1688674439,3f1ed079-085e-fa89-4380-b29042516f43,3,239381,721674
15,1688586152,1688674439,17fc15cd-d156-2d64-66c4-e6a27241061f,3,239381,721673
27,1688586152,1688674439,14e6cbda-6e9e-e890-19c7-c53e2be8f28d,3,239381,721672
12,1688586152,1688674439,f3ff2b61-eca8-1f85-2437-03012bea41ac,3,239381,721671
7,1688586152,1688674439,585cea92-e3d9-fc47-410e-85e9d68f7150,3,239381,721670
13,1688586659,1688674436,4d95c8d2-7814-3719-b77d-47fa828aabeb,3,253424,721706
26,1688586659,1688674436,94e96e3f-5dd1-9573-26da-19b8e807ef13,3,253424,721705
28,1688586659,1688674436,9fdea288-683a-3c1e-a7c9-c7479926478a,3,253424,721704
24,1688586659,1688674436,1d1402c2-35bf-4c52-b81f-9e41f979d9d2,3,253424,721703
3,1688586659,1688674436,13714eb3-4135-bfc7-a7cb-e8c8ecd0d708,3,253424,721702
25,1688586659,1688674436,1d1e5a03-82fb-7838-7096-c9daaef2ce04,3,253424,721701
23,1688586659,1688674436,a227fd8d-b424-0adc-6da4-23790ece1b5c,3,253424,721700
2,1688586659,1688674436,4c8f470a-d662-b3fd-e3a2-de81950356dc,3,253424,721699
