companies,url,platform_version_release_dates,memory,sound,connectivity,media,name,slug,resolutions,checksum,output,cpu,main_manufacturer,graphics,online,os,platform_logo,storage,id,summary
[533],https://www.igdb.com/platforms/cpet/version/initial-version,[552],4–96 KB,none or beeper,,,Initial version,initial-version,,df0a5020-309d-04c9-5368-b2b9244bb6b4,,MOS Technology 6502 @ 1 MHz,,monochrome character graphics,,Commodore BASIC 1.0 ~ 4.0,543.0,"cassette tape, 5.25-inch floppy, 8-inch floppy, hard disk",103,"The Commodore PET is a line of home/personal computers produced starting in 1977 by Commodore International. The system combined a MOS 6502 microprocessor, Commodore BASIC in read only memory (ROM), a keyboard, a computer monitor and (in early models) a cassette deck for data and program storage in a single all-in-one case."
[527],https://www.igdb.com/platforms/switch/version/switch-lite,[359],,,,,Switch Lite,switch-lite,,24097bf5-9bbf-5959-931b-4b87ece75fb8,,,,,,,534.0,,282,"A smaller version of the Switch, which only supports handheld play. The Joy-Cons are integrated into the main unit, and the four directional buttons are replaced by a more classic D-Pad"
[144],https://www.igdb.com/platforms/snes--1/version/super-famicom-shvc-001,[204],128 KB,"Nintendo S-SMP 8 channels, stereo, 64 KB",,ROM cartridge,Super Famicom (SHVC-001),super-famicom-shvc-001,256x224 to 512x448,3fcc6ae9-ac67-dc57-a433-780e25ee615f,"composite video, S-Video and RGB",Ricoh 5A22 @ 3.58 MHz,,,"Satellaview (satellite radio), XBAND,",,105.0,,139,Original Japanese version (SHVC-001)
,https://www.igdb.com/platforms/trs-80/version/initial-version,,,,,,Initial version,initial-version,,93cf119c-a0d5-5de9-fcaa-4692e0bd605c,,,,,,,372.0,,164,
,https://www.igdb.com/platforms/nec-pc-6000-series/version/initial-version,,,,,,Initial version,initial-version,,a4ae254e-b95b-ec66-9c68-a55026361c04,,,,,,,370.0,,222,
[368],https://www.igdb.com/platforms/wii/version/wii-mini,"[360, 361, 362]",80 MB,"Stereo, Dolby Surround",,Nintendo Wii optical disc,Wii mini,wii-mini,"480p, 480i, 576i",f5adf622-be04-e3ef-278e-bee6e383a1b1,composite,IBM PowerPC ''Broadway'' @ 729 MHz,,ATI ''Hollywood'' @ 243 MHz,,Wii System Software,326.0,512 MB NAND Flash memory,283,"A smaller version of the Wii with a top-loading disc drive. This version lacks online connectivity, as well as GameCube compatibility and an SD card slot."
,https://www.igdb.com/platforms/n64/version/initial-version-4369dd46-1ced-49c7-85f2-7f5c28d72be5,"[36, 37, 39, 133]",4 MB RDRAM,"16-bit, stereo, CD quality",,Nintendo 64 Game Pak,Initial version,initial-version-4369dd46-1ced-49c7-85f2-7f5c28d72be5,"256x224, 320x240 and 640x480",805e01e1-1a8b-7ccd-b0fb-42d4d9cf0eb9,Composite video and S-Video,"64-bit 93,75 MHz NEC VR4300",,"62,5 MHz SGI RCP",RANDnetDD (Japan Only),,259.0,64 MB Cartridge and 256 Kb Controller Pak,51,"In the early 1990s there was a trend by video game companies to update their 16-bit cartridge-based systems to 32-bit CD-ROM based systems. Nintendo aimed extensive research at a possible CD-ROM add-on for its Super NES console. They launched development projects with, ironically, Sony and Philips but were not impressed with the loading speed of the CD-ROM-based systems. Nintendo instead opted to explore the potential of combining the fastest data storage device available: the silicon-based game cartridge, with the fastest computer chip to be used in video games: the 64-bit processor.

Chairman of Nintendo of America, Howard Lincoln, teamed with Jim Clark, Chairman of Silicon Graphics, the company that had done the special effects for Terminator 2: Judgment Day and Jurassic Park. They sought to design a new game system capable of incredible graphics-rendering power. The new system was initially called, ""Project Reality."" The term ""Project Reality"" was in reference to the ""real"" three-dimensional environments that they knew could be created with the new system. The new platform would run on the powerful 100 MHz MIPS RISC microprocessor. Foreseeing the finite future of the current television standard, Nintendo made sure that ""Project Reality"" would also be compatible with HDTV (high-definition television).

On July 18, 1994, Nintendo revealed that the new name for their system, the ""Ultra 64"" (later changed to Nintendo 64), would use 500MHz DRAM memory technology from Rambus, Inc. This fast access speed would provide the means for extremely fluid three-dimensional graphics.

Nintendo announced that it would release the Nintendo 64 system to American consumers on April 21, 1996. The price would be under $250. This date was soon pushed back five months in order to allow manufacturers enough time to produce enough systems to accommodate the projected consumer demand.

When the Nintendo 64 system was finally launched on September 29, 1996, only two games were available to American consumers: Super Mario 64 and Pilot wings 64. In a move considered risky by Nintendo, no game cartridge was packaged with the Nintendo 64 system. Only the console, a single gray controller and an AC adapter were included in the original packaging. The Nintendo 64 debuted with a retail price of $199.

The Nintendo 64 system and the game Super Mario 64 opened to rave reviews from the critics. Next Generation magazine even called Super Mario 64, ""the greatest video game ever made.""

On its first day of sale, the Nintendo 64 system sold 500,000 units in North America. It took the PlayStation three months to sell the same amount. By the end of March 1997, Nintendo had sold over 3.3 million units of its new system.

Besides the obvious innovations in graphics, the Nintendo 64 featured a unique controller with fourteen buttons and an analog joystick at the center. The joystick provides complete 360° control of on-screen action. On the bottom of the controller is a quick-action ""Z-trigger"" and a multi-directional control pad. Additional controllers (in designer colors) are available for $25 each.

Players can attach an optional Controller Pak to the memory cart slot on the back of the Nintendo 64 controller. It stores a player's game statistics, preferred controller button configuration and built-up character strengths.

Nintendo introduced the Rumble Pak accessory in June 1997 along with the Star Fox 64 game cartridge. It attaches to the rear of the controller and vibrates according to various actions that occur on the screen (such as explosions or gunshots). The Rumble Pak is powered by two AAA batteries that can last up to 60 hours of play. Its retail price is $19.95.

Nintendo of America's President Minoru Arakawa announced a storage attachment for the system called the Nintendo 64 Disk Drive (64DD) in 1997. Also known as the ""bulky"" drive for its large or ""bulk"" storage capacity, the 64DD is designed to be a ""writable"" drive. Players would be able to customize existing games by introducing new characters or additional levels. This storage unit would sit beneath the Nintendo 64 console and plug into the ""EXT."" expansion connector on the bottom of the system. The magnetic disk would be capable of holding 64 megabytes. It would be about the same size of a 3.5-inch floppy disk and twice as thick. When it is inserted into the 64DD, the disk would add four megabytes to the main memory, thereby upgrading the system's total to eight megabytes. Nintendo had originally announced that the first game to use this technology would be The Legend of Zelda: Ocarina of Time. While the 64DD was originally announced to be available in 1997, Nintendo cancelled its plans to debut the system upgrade in the United States.

Nintendo announced the release of the Nintendo 64 Expansion Pak on November 23, 1998. The Expansion Pak is a four-megabyte RAM cartridge that fits underneath a removable panel located on the top of the console. It will also increase the total RAM memory on the system to eight megabytes and allow select Nintendo 64 games to be played in a special high-resolution mode. The retail price for the Expansion Pak was $29.95. The first Expansion Pak compatible games to be announced were Star Wars: Rogue Squadron, NFL Quarterback Club 99 and Turok 2: Seeds of Evil."
[553],https://www.igdb.com/platforms/xbox-series-x/version/xbox-series-x,[363],16 GB GDDR6 w/ 320b bus,,,,Xbox Series X,xbox-series-x,"4k 60fps up to 120fps, support for Variable Refresh Rate (VRR), 8K capability",49c3532d-2977-925c-4670-c654a3303e76,"HDMI 2.1 output port, three USB 3.2 ports, one networking port, an expanded storage slot and a power input port",8x Cores @ 3.8 GHz (3.6 GHz w/ SMT) Custom Zen 2 CPU,,"12 TFLOPS, 52 CUs @ 1.825 GHz Custom RDNA 2 GPU",Xbox Live,,561.0,1TB Custom NVME SSD,284,"Xbox Series X is Microsoft's most powerful console ever, powered by their custom designed processor leveraging AMD's latest Zen 2 and RDNA 2 architectures. The new system on a chip (SOC) has been built from the ground up for speed and performance, with 12 teraflops of processing power and with compatibility in mind for four generations of games. 
 
Compared to the previous generation, Xbox Series X represents a superior balance of power and speed in console design, advancing on all technological fronts to delivering amazing, dynamic, living worlds and minimize any aspects that can take you out of the experience. 
 
- Next Generation Custom Processor: Xbox Series X is our most powerful console ever powered by our custom designed processor leveraging AMD’s latest Zen 2 and RDNA 2 architectures. Delivering four times the processing power of an Xbox One and enabling developers to leverage 12 TFLOPS of GPU (Graphics Processing Unit) performance – twice that of an Xbox One X and more than eight times the original Xbox One. Xbox Series X delivers a true generational leap in processing and graphics power with cutting edge techniques resulting in higher framerates, larger, more sophisticated game worlds, and an immersive experience unlike anything seen in console gaming. 
 
Variable Rate Shading (VRS): Our patented form of VRS empowers developers to more efficiently utilize the full power of the Xbox Series X. Rather than spending GPU cycles uniformly to every single pixel on the screen, they can prioritize individual effects on specific game characters or important environmental objects. This technique results in more stable frame rates and higher resolution, with no impact on the final image quality. 
 
- Hardware-accelerated DirectX Raytracing: You can expect more dynamic and realistic environments powered by hardware-accelerated DirectX Raytracing – a first for console gaming. This means true-to-life lighting, accurate reflections and realistic acoustics in real time as you explore the game world."
[249],https://www.igdb.com/platforms/saturn/version/initial-version-ed059efd-a8a6-4ded-a209-998137a3f29a,"[90, 91, 92]",40 MB,"SCSP (SEGA Custom Sound Processor (Yamaha YMF-292  32 Channels FM sound PCM MIDI, Pitch Bending))",,Sega Saturn Cartridge,Initial version,initial-version-ed059efd-a8a6-4ded-a209-998137a3f29a,"320 x 224, 704 x 480,",e08a46e1-4e04-bc05-10b3-4c2275e602b1,,"Hitachi SH-2 @ 28,6 MHz",,"VDP1 (Polygons, Sprites, Texture Mapping, Gouraud Shading) VDP2 (Transparency, Scaling, Rotations, and Scrolling)","Sega NetLink, SegaNet",,49.0,"Internal RAM, cartridge",65,
,https://www.igdb.com/platforms/xbox360/version/xbox-360-arcade,[2],,,,,Xbox 360 Arcade,xbox-360-arcade,,8b9f5a93-4afe-405c-3046-bc3fb538f82d,,,,,,,250.0,,3,
[74],https://www.igdb.com/platforms/ps3/version/playstation-3-super-slim,"[161, 162, 163, 164]",,,,,Playstation 3 Super Slim,playstation-3-super-slim,,50fa2235-a2d7-ac43-3931-bf6e083c69e7,,,,,,,79.0,,6,"In September 2012, Sony announced that a new slimmer PS3 redesign (CECH-4000) was due to be released in late 2012 and that it would be available with either a 250 GB or 500 GB hard drive. In PAL regions, the 250 GB model is not available; a model with 12 GB of flash memory is available in its place. A standalone 250 GB hard drive is available to upgrade this model. Both are roughly 25% smaller and about 20% lighter than the original PS3 Slim. This version has a sliding disc cover rather than the slot-loading drive found on previous PlayStation 3 consoles. A vertical stand is also available for these models and was launched on the same day as the consoles in their respective regions."
[196],https://www.igdb.com/platforms/android/version/kitkat,[102],,,,,KitKat,kitkat,,104f941f-d949-35bc-3422-2e11a36b4853,,,,,,,63.0,,12,Versions 4.4 – 4.4.4
,https://www.igdb.com/platforms/apple-iigs/version/initial-version,,,,,,Initial version,initial-version,,9bf063a4-e282-8c7b-d62c-ccc79185a8cf,,,,,,,295.0,,153,
