websites,alternative_name,platform_logo,versions,created_at,name,slug,updated_at,checksum,abbreviation,category,url,platform_family,id,generation,summary
[370],,,[621],1685641825,Meta Quest 3,meta-quest-3,1685641862,661fe450-697a-92fd-7151-2a34ec712a18,,1.0,https://www.igdb.com/platforms/meta-quest-3,,471,9.0,
,,384.0,[71],1326279244,Virtual Console,vc,1681240385,1d9fa2f3-0e52-813a-1525-6fdfcc4c732c,VC,3.0,https://www.igdb.com/platforms/vc,5.0,47,,
[32],PSVR,161.0,[235],1518705184,PlayStation VR,playstation-vr,1677526312,aa48201c-bd3b-ed2c-f30f-50790d5549b7,PlayStation VR,1.0,https://www.igdb.com/platforms/playstation-vr,1.0,165,8.0,
[342],PSVR2,738.0,[512],1641416080,PlayStation VR2,psvr2,1677524402,ef134f0b-0b45-bc3e-0ab5-15b4a26d46ba,PSVR2,1.0,https://www.igdb.com/platforms/psvr2,1.0,390,9.0,
"[284, 341]",Quest 2,,"[507, 593]",1632258796,Meta Quest 2,meta-quest-2,1675765358,3f2e126f-456d-71d8-ac05-ec1a0676aafd,Meta Quest 2,1.0,https://www.igdb.com/platforms/meta-quest-2,,386,,
,Sega Genesis,293.0,[64],1300959838,Sega Mega Drive/Genesis,genesis-slash-megadrive,1670168290,f5cda40e-2331-62ed-851c-8133d7743957,Genesis/MegaDrive,1.0,https://www.igdb.com/platforms/genesis-slash-megadrive,3.0,29,4.0,
[340],,,[591],1666808653,PocketStation,pocketstation,1666808660,3a2dde48-46e5-5856-5d38-612d95a4d2e5,,5.0,https://www.igdb.com/platforms/pocketstation,1.0,441,5.0,
[339],VMU / VMS,728.0,[590],1666800981,Visual Memory Unit / Visual Memory System,visual-memory-unit-slash-visual-memory-system,1666802311,76344cf9-0604-8d4d-7171-121dde0e6f4b,,5.0,https://www.igdb.com/platforms/visual-memory-unit-slash-visual-memory-system,3.0,440,6.0,
,Magnavox Odyssey²,112.0,[183],1477304835,Odyssey 2 / Videopac G7000,odyssey-2-slash-videopac-g7000,1664890233,2f5934ae-8aa4-e849-64c9-932a59d9c30d,,6.0,https://www.igdb.com/platforms/odyssey-2-slash-videopac-g7000,,133,,
[338],V.SMILE TV LEARNING SYSTEM,,[589],1663688323,V.Smile,vsmile,1663688329,2a426d76-7d50-e3af-3d83-0deb2677bb9a,,1.0,https://www.igdb.com/platforms/vsmile,,439,6.0,
[337],,,[588],1663685343,Arduboy,arduboy,1663685354,54e5a3b8-49fa-e0b3-c5e7-b7dce5ef22ba,,5.0,https://www.igdb.com/platforms/arduboy,,438,8.0,
,,,"[19, 109, 110, 111, 112, 113, 522]",1297880654,Amiga,amiga,1660327462,1c4178c0-d6dc-1802-2554-080bbd8b4a1f,Amiga,6.0,https://www.igdb.com/platforms/amiga,,16,,
[311],Leapster Learning Game System,689.0,[552],1660246910,Leapster,leapster,1660327194,2a4b5882-ce1b-2ba6-f4c2-0f3e55fda0b9,,5.0,https://www.igdb.com/platforms/leapster,,412,6.0,
[313],LeapTV VCD,690.0,[554],1660314942,LeapTV,leaptv,1660326997,74a35c87-865a-52ee-29f0-70c03039ff84,,1.0,https://www.igdb.com/platforms/leaptv,,414,8.0,
[310],Jag CD,688.0,[550],1660245561,Atari Jaguar CD,atari-jaguar-cd,1660326828,704539d3-9f54-2d0f-220c-986c484c76b0,,1.0,https://www.igdb.com/platforms/atari-jaguar-cd,,410,5.0,
[314],,691.0,[555],1660319701,Watara/QuickShot Supervision,watara-slash-quickshot-supervision,1660326748,4ed0c0ee-3103-4d53-c0dc-612a391de28d,,5.0,https://www.igdb.com/platforms/watara-slash-quickshot-supervision,,415,4.0,
[307],WG-108,687.0,[548],1660155539,Mega Duck/Cougar Boy,mega-duck-slash-cougar-boy,1660326569,4bd967b3-9dff-84ab-809a-fdf191e5e0f5,,5.0,https://www.igdb.com/platforms/mega-duck-slash-cougar-boy,,408,4.0,
[316],Garnet OS,693.0,[557],1660322541,Palm OS,palm-os,1660326463,7c475b92-12a3-b2a1-e302-dd13f4ebfdc3,,4.0,https://www.igdb.com/platforms/palm-os,,417,,
